Year;Machine;PROD;tprep (hrs);tferm (hrs);t_CIP (hrs);total_ferm
2023;F100;MAM;12,5;85,03333333;14,21666667;111,75
2023;F140;BGF;24,68333333;82,5;7;114,1833333
2023;F218;EDX;13,41666667;118,5166667;9,833333333;141,7666667
2023;F100;PME;19,58333333;115,8166667;8,4;143,8
2023;F200;MXB;37,4;117,5333333;13,08333333;168,0166667
2023;F140;ROM;11,01666667;85,2;18,68333333;114,9
2023;F140;FUM;13,56666667;100,6666667;6,116666667;120,35
2023;F200;GPP;15,26666667;78,06666667;26,61666667;119,95
2023;F100;XYL;39,13333333;52,38333333;7,316666667;98,83333333
2023;F218;ASP;11,66666667;81,11666667;12,81666667;105,6
2023;F100;FUM;11,95;101,7;7,85;121,5
2023;F200;MAM;13,35;86,68333333;20,31666667;120,35
2023;F140;FUM;12,9;100,25;12,41666667;125,5666667
2023;F218;FRO;15,56666667;93,23333333;11,48333333;120,2833333
2023;F200;GOX;13,66666667;100,55;28,6;142,8166667
2023;F100;FDA;15,36666667;125,0666667;17,2;157,6333333
2023;F140;BXN;17,18333333;42,75;7,35;67,28333333
2023;F218;EDX;11;123,7;7,966666667;142,6666667
2023;F200;MAX;27,06666667;97,8;8,35;133,2166667
2023;F140;PNR;13,33333333;22,21666667;16,3;51,85
2023;F100;GOP;9,633333333;41,16666667;23,53333333;74,33333333
2023;F140;MAM;12,83333333;86,11666667;21,81666667;120,7666667
2023;F218;GOX;9,9;113,6833333;28,08333333;151,6666667
2023;F200;INV;8,183333333;68,93333333;13,21666667;90,33333333
2023;F100;XYL;15,06666667;43,46666667;17,23333333;75,76666667
2023;F140;BGF;14,06666667;75,36666667;9,05;98,48333333
2023;F200;INV;9,283333333;65,13333333;9,166666667;83,58333333
2023;F218;FRO;17,16666667;106,05;8,533333333;131,75
2023;F100;GOP;8,833333333;39,86666667;17,63333333;66,33333333
2023;F200;CIN;14,23333333;106,6333333;7,333333333;128,2
2023;F140;MAM;11,58333333;82,91666667;30,88333333;125,3833333
2023;F100;GOP;15,28333333;39,18333333;26,73333333;81,2
2023;F218;PLA;11,21666667;145,8;14,96666667;171,9833333
2023;F100;GOP;8,583333333;32,26666667;10,15;51
2023;F200;GPP;9,516666667;71,33333333;29,35;110,2
2023;F100;FUM;8,766666667;101,8;18,21666667;128,7833333
2023;F218;ASG;31,7;114,0333333;10,98333333;156,7166667
2023;F140;FUM;7,533333333;102,6666667;8,583333333;118,7833333
2023;F200;GPP;15,51666667;65,91666667;29,01666667;110,45
2023;F100;ROM;15,88333333;94,28333333;21,81666667;131,9833333
2023;F218;EDP;12,11666667;106,2333333;15,9;134,25
2023;F140;BGF;16,08333333;71,4;19,66666667;107,15
2023;F200;MAX;19,13333333;113,4;11,01666667;143,55
2023;F100;MAM;15,71666667;87,11666667;50,95;153,7833333
2023;F140;BXN;13,2;39,78333333;6,5;59,48333333
2023;F218;MXB;8,1;129,25;5,183333333;142,5333333
2023;F200;GPP;20,48333333;68,16666667;32,38333333;121,0333333
2023;F218;FRO;15;99,86666667;6,966666666;121,8333333
2023;F140;BGF;43,5;77,35;7,3;128,15
2023;F100;NBA;10,48333333;99,8;18,11666667;128,4
2023;F140;PNR;15,6;24,86666667;14,36666667;54,83333333
2023;F218;PLA;15,56666667;142,4333333;14,45;172,45
2023;F200;CIN;13,13333333;106,6833333;12,15;131,9666667
2023;F140;FDA;16,66666667;139,05;8,633333333;164,35
2023;F100;FUR;10,86666667;49,21666667;14,3;74,38333333
2023;F100;FUM;10,01666667;111,5;11,36666667;132,8833333
2023;F200;TAN;9,116666667;90,88333333;13,8;113,8
2023;F140;FUM;9,333333333;100,7;14,4;124,4333333
2023;F218;FRO;14,15;97,18333333;24,05;135,3833333
2023;F100;FUM;14;92,51666667;11,78333333;118,3
2023;F200;GPP;9,883333333;76,58333333;22,41666667;108,8833333
2023;F218;GOX;9;95,95;13,93333333;118,8833333
2023;F140;ROM;11,98333333;85,4;19,36666667;116,75
2023;F100;GOP;8,383333333;45,78333333;7,033333333;61,2
2023;F100;FUM;8,466666667;111,0833333;9,35;128,9
2023;F218;EDX;13,65;138,7166667;5,85;158,2166667
2023;F140;FUM;17,11666667;121,6166667;17,8;156,5333333
2023;F200;MAM;12,53333333;84,26666667;26,3;123,1
2023;F100;FUM;14,9;100,3333333;18,88333333;134,1166667
2023;F200;GPP;11,01666667;69,3;19,18333333;99,5
2023;F218;EDP;11,53333333;133,7333333;14,85;160,1166667
2023;F140;FUM;8,45;115,7166667;7,65;131,8166667
2023;F200;GPP;13,36666667;76,73333333;38,16666667;128,2666667
2023;F100;ARF;9,283333333;144,45;65,85;219,5833333
2023;F140;FDA;24,66666667;147;8,366666667;180,0333333
2023;F200;MAX;12,9;113,0166667;16,6;142,5166667
2023;F218;GOX;9,466666667;96,36666667;34,7;140,5333333
2023;F100;GOP;9,65;33,33333333;13,45;56,43333333
2023;F200;GPP;9,916666667;87,2;53,18333333;150,3
2023;F140;ROM;7,25;80,56666667;14,85;102,6666667
2023;F100;EDP;9,916666667;75,06666667;19;103,9833333
2023;F100;PI-PLC;11,58333333;49,85;23,95;85,38333333
2023;F200;MXB;11,1;118,7833333;26,36666667;156,25
2023;F140;MAM;12,08333333;82,73333333;20;114,8166667
2023;F100;MAM;8,866666667;83,31666667;16,38333333;108,5666667
2023;F218;MXB;12,01666667;118,5333333;15,4;145,95
2023;F140;ROM;13,28333333;88,56666667;55,78333333;157,6333333
2023;F200;CIN;10,91666667;121,1;6,2;138,2166667
2023;F100;XYL;10,65;50,6;49,88333333;111,1333333
2023;F218;EDX;17,21666667;110;81,51666667;208,7333333
2023;F140;FUM;8,3;131,6;42,45;182,35
2023;F200;INV;9,716666667;70,28333333;70,36666667;150,3666667
2023;F100;FUR;13,38333333;56,48333333;14,7;84,56666667
2022;F200;GPP;10,06666667;75,95;28,43333333;114,45
2022;F140;BXN;15,96666667;34,73333333;10,91666667;61,61666667
2022;F218;ASG;9,416666667;105,7833333;27,18333333;142,3833333
2022;F100;FUR;15,95;67,51666667;17,13333333;100,6
