ID,SKU Interm1,Name,MF,Fermenter,Activity density (U/g),Batch weight (kg),BU EoR,SKU EoF,Weight ratio (kg EoR/kg EoF),Broth killing (hrs),Broth killing in,Harvest tanks__Broth preparation (hrs),Harvest tanks__Process extra (hrs),Harvest tanks__Post (hrs),Harvest tanks__End weight (kg),FAM or MF__Prep (hrs),FAM or MF__Process (kg/hr/sqm),FAM or MF__Post (hrs),FAM or MF__Weight factor (at F+L),FAM or MF__Weight (kg at F+L),FAP1__Filter preps (#),FAP1__Filter prep process (hrs),UF__UF fractions (#),UF__Prep (hrs),UF__Process (kg/hr/sqm),UF__Post (hrs),UF__End weight factor,UF__Weight ccUF (kg),Stab__Process (hrs),Stab__In V300,Stab__End weight factor,Stab__Weight ccUFSTAB (kg),Stab__Transfer to IBC (hrs),Recipe not in use,UF__DCO (tons/hr),UF__Nitrogen (kg/hr),UF__Phosphorus (kg/hr),FAM or MF__Parallel,Comments
11,11010,"FURORE CCUF, l",0,V200,11754.4,12900,151.63176,10996,,20,V01,20,0,0,245000,0,43.0,0,1.76,431200.0,1,2,2,0,5.12,0,33.0,13066.6666666667,4,,1.0,13066.6666666667,1,False,0.109,4.570999999,0.571,Must have 2,
12,11010,"FURORE CCUF, l",0,V218,11754.4,12900,151.63176,10996,,20,V01,20,0,0,245000,0,43.0,0,1.76,431200.0,1,2,2,0,5.12,0,33.0,13066.6666666667,4,,1.0,13066.6666666667,1,False,0.109,4.570999999,0.571,Must have 2,
13,11905,EDP CCUF,0,V100,16.39,9725,0.15939275,11901,,10,Etanks & Fermenter,7,0,0,123853,0,49.07,0,1.96,242751.88,1,2,2,0,3.839999999,0,25.0,9710.0752,4,,1.0,9710.0752,1,False,0.092,6.397999999,3.601999999,,
14,11905,EDP CCUF,0,V140,16.39,13615,0.22314985,11901,,10,Etanks & Fermenter,7,0,0,173394,0,49.07,0,1.96,339852.24,1,2,2,0,3.839999999,0,25.0,13594.0896,4,,1.0,13594.0896,1,False,0.066,4.57,2.573,,
15,11905,EDP CCUF,0,V200,16.39,21200,0.347468,11901,,10,Etanks & Fermenter,7,0,0,270000,0,49.07,0,1.96,529200.0,1,2,4,0,3.839999999,0,25.0,21168.0,4,,1.0,21168.0,1,False,0.084,5.87,3.303999999,,
16,11905,EDP CCUF,0,V218,16.39,21200,0.347468,11901,,10,Etanks & Fermenter,7,0,0,270000,0,49.07,0,1.96,529200.0,1,2,4,0,6.82,0,25.0,21168.0,4,,1.0,21168.0,1,False,0.084,5.87,3.303999999,,
17,12073,"EDP, stab ccuf on benzoate",0,V100,16.085999999,9908,0.159380087990092,11901,,10,Etanks & Fermenter,7,0,0,123853,0,49.07,0,1.96,242751.88,1,2,2,0,3.839999999,0,25.0,9710.0752,4,Yes,1.018868,9893.2848988736,1,False,0.092,6.397999999,3.601999999,,
18,12073,"EDP, stab ccuf on benzoate",0,V140,16.085999999,13872,0.223144991986128,11901,,10,Etanks & Fermenter,7,0,0,173394,0,49.07,0,1.96,339852.24,1,2,2,0,3.839999999,0,25.0,13594.0896,4,Yes,1.018868,13850.5828825728,1,False,0.066,4.57,2.573,,
19,12073,"EDP, stab ccuf on benzoate",0,V200,16.085999999,21600,0.3474575999784,11901,,10,Etanks & Fermenter,7,0,0,270000,0,49.07,0,1.96,529200.0,1,2,4,0,3.839999999,0,25.0,21168.0,4,Yes,1.018868,21567.397824,1,False,0.084,5.87,3.303999999,,
20,12073,"EDP, stab ccuf on benzoate",0,V218,16.085999999,21600,0.3474575999784,11901,,10,Etanks & Fermenter,7,0,0,270000,0,49.07,0,1.96,529200.0,1,2,4,0,3.839999999,0,25.0,21168.0,4,Yes,1.018868,21567.397824,1,False,0.084,5.87,3.303999999,,
