,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
30,13140,13106,MXB,V200,130000.0,0.0,0.0,16.0,138.0,15.0,0,14.768321949418498,24.06792173024008,4,2,6065.11627534884,0,0,False,0.0,inf,False,6.461140852870592,22
31,13140,13106,MXB,V218,130000.0,0.0,0.0,16.0,138.0,15.0,0,14.768321949418498,24.06792173024008,4,2,6065.11627534884,0,0,False,0.0,inf,False,6.461140852870592,23
32,14011,10996,FUR,V100,70000.0,0.0,0.0,15.0,54.0,15.0,40,60.00000001388086,63.03301465901848,4,1,5600.00000015855,0,1,False,2.0,inf,False,18.68576767794483,24
34,14011,10996,FUR,V200,154000.0,0.0,0.0,15.0,54.0,15.0,40,28.488372093023255,70.18229166666667,4,2,13066.6666666667,0,1,False,2.0,inf,False,8.13953488372093,25
35,14011,10996,FUR,V218,154000.0,0.0,0.0,15.0,54.0,15.0,40,28.488372093023255,70.18229166666667,4,2,13066.6666666667,0,1,False,2.0,inf,False,8.13953488372093,26
36,14825,4631,MAX,V100,107000.0,52000.0,4.0,12.0,100.0,13.0,0,0.11008279337652987,0.04586783057355411,4,3,19113.13,1,0,30.0,0.0,9.0,80.0,0.1259899208063355,27
37,14825,4631,MAX,V140,128440.0,52000.0,4.0,11.0,100.0,11.0,0,0.09246940244780417,0.038528917686585076,4,5,26758.3333333333,1,0,30.0,0.0,9.0,80.0,0.1259899208063355,28
38,14825,4631,MAX,V200,200000.0,80000.0,4.0,11.0,100.0,11.0,0,0.07999360051195904,0.033330666879982936,4,9,41666.6666666667,1,0,30.0,0.0,6.0,80.0,0.1259899208063355,29
40,14912,4631,MAX,V100,107000.0,52000.0,4.0,12.0,100.0,13.0,0,0.11008279337652987,0.04586783057355411,4,3,19113.13,1,1,30.0,0.0,9.0,80.0,0.1259899208063355,30
41,14912,4631,MAX,V140,128440.0,52000.0,4.0,11.0,100.0,11.0,0,0.09246940244780417,0.038528917686585076,4,5,26758.3333333333,1,1,30.0,0.0,9.0,80.0,0.1259899208063355,31
42,14912,4631,MAX,V200,200000.0,80000.0,4.0,11.0,100.0,11.0,0,0.07999360051195904,5.547788651443534,4,9,41666.6666666667,1,1,30.0,0.0,6.0,80.0,0.1259899208063355,32
44,14915,25004,EDP-MF,V100,72000.0,0.0,0.0,12.0,85.0,15.0,0,0.048,17.63659466327827,4,3,5552.0,1,0,False,0.0,inf,False,0.07,33
46,14915,25004,EDP-MF,V200,144000.0,0.0,0.0,12.0,85.0,15.0,0,0.05232,0.030258399999999998,4,6,12103.36,1,0,False,0.0,inf,False,0.07,34
48,14932,14123,PGE,V100,60000.0,0.0,0.0,15.0,80.0,10.0,10,0.096,0.05328,4,2,3996.0,1,0,False,0.0,inf,False,0.112,35
52,15024,15015,NBA,V100,100000.0,60000.0,6.0,11.0,98.0,20.0,24,22.666666666666668,39.89333333333333,4,2,5984.0,0,0,32.0,0.0,12.0,80.0,9.333333333333334,36
53,15024,15015,NBA,V140,154000.0,84000.0,7.0,11.0,98.0,20.0,24,21.155555555555555,37.233777777777775,4,3,8377.6,0,0,28.0,0.0,10.0,80.0,9.333333333333334,37
56,15255,15253,XEA,V42,40000.0,0.0,0.0,15.0,178.0,15.0,0,33.731984055005576,54.22157149829185,4,2,14335.4838709677,0,0,False,1.0,inf,False,10.732904017501776,38
60,15256,15253,XEA,V42,40000.0,0.0,0.0,15.0,178.0,15.0,0,26.397888168946483,53.28537170263789,4,2,14335.4838709677,0,1,False,1.0,inf,False,8.3993280537557,39
64,15536,15532,ZBJ,V100,72000.0,0.0,0.0,12.0,90.0,6.0,20,16.580310880829014,46.76616912935324,4,1,5013.33333066667,0,0,False,0.0,inf,False,7.253886010362694,40
68,15537,15532,ZBJ,V100,72000.0,0.0,0.0,12.0,90.0,6.0,20,26.666666666666668,70.21475255001347,4,1,5013.33333066667,0,1,False,0.0,inf,False,11.666666666666666,41
72,17276,17272,GOP,V100,68000.0,0.0,0.0,18.0,64.0,18.0,24,14.122077514735949,18.500738542725312,4,1,3955.26315552632,0,0,False,1.0,inf,False,5.491919033508425,42
75,17276,17272,GOP,V218,150000.0,25000.0,1.0,18.0,64.0,18.0,24,15.393064491062185,20.16580501157059,4,2,8622.47367904737,0,0,30.0,0.0,5.0,30.0,5.491919033508425,43
77,17291,17235,GPP,V140,90000.0,0.0,0.0,11.0,86.0,26.0,40,12.655261307710335,23.717948721327343,4,3,11988.0,0,1,False,1.0,inf,False,8.202484180923365,44
78,17291,17235,GPP,V200,160000.0,44000.0,2.0,11.0,86.0,26.0,42,26.25000000129675,27.8339875,4,4,22044.5181022044,0,1,52.0,0.0,5.0,85.0,18.154513435236776,45
80,17516,10998,MAM,V100,104000.0,60000.0,6.0,12.0,93.0,15.0,24,13.780173423951254,22.604781983403658,4,3,7232.39999559,0,1,25.0,0.0,12.0,75.0,8.202484180923365,46
81,17516,10998,MAM,V140,144000.0,84000.0,7.0,12.0,93.0,15.0,24,19.292242793531756,31.64669477676512,4,3,10125.359993826,0,1,28.0,0.0,10.0,82.0,8.202484180923365,47
